dst	src
400624	400257
300073	400902
400344	300001
401924	400608
400559	300121
400340	400454
400875	400354
400739	400365
400689	300029
401875	400620
400125	400375
401616	400881
400732	300228
400482	400983
400698	401876
400771	400347
401705	400888
300038	300224
400471	400643
400388	300025
401652	400347
300115	401995
300043	400440
400845	300127
400779	400467
300011	400127
400895	400408
400347	400601
400227	400991
401691	400642
300037	401001
400710	400883
400480	401975
401990	300048
400482	300085
401691	300125
400055	400999
400900	400483
400586	400787
401000	400466
400648	400566
401593	400227
400886	401597
400963	300045
400526	400212
400322	400997
300152	400212
401117	300085
401990	400687
300153	400649
300053	300069
400699	401964
400013	401525
401863	400319
400624	401977
400870	401566
400332	300141
401971	400707
402001	300118
400545	400212
300194	300208
400583	400446
400221	400706
400593	400566
400742	400787
400329	400787
400204	401592
300152	300043
401021	400460
400079	400392
400455	401575
400636	400235
400710	400646
300023	400688
400340	400264
400470	400207
401615	400256
400356	400834
400609	300040
400202	400999
400636	400704
401697	400286
400615	400197
300051	400593
400541	400483
400261	400744
400618	400780
400262	300022
400478	400645
401101	300026
300068	400567
400408	400703
400951	300122
400099	400830
400869	401923
400470	400221
401973	400701
400649	400195
400840	400890
400331	400372
300011	300084
400470	400471
400517	300027
300206	300087
300055	400689
300141	300121
300056	400375
300056	400333
400750	401653
300073	400736
401570	300085
401690	401466
300055	400399
400966	400892
400963	401864
400628	401925
400201	300131
401922	300141
400119	400412
400595	400272
400209	400728
400526	400193
400515	300051
401614	400143
300150	401574
401214	400243
300013	401594
400558	400232
401993	401001
400035	401997
400990	400703
400079	400567
300153	400731
401877	401876
400459	400199
400362	400348
400322	401607
400013	400788
400585	401876
400071	400743
401611	400234
400181	400084
401990	300183
300073	300060
400844	400508
400611	400261
401570	300032
401216	400951
300055	401969
400999	401669
300131	400687
400473	400750
400577	400747
300152	400845
401593	400127
300036	400584
401723	401990
400846	401037
400611	400390
400228	400126
400346	400375
400895	401863
400306	400992
400636	300070
400033	400242
400323	401977
400121	400728
401570	400380
400778	400583
300024	400541
400349	401559
400545	400834
400575	400441
401598	400348
401992	400209
300075	300010
400633	401598
400322	401975
400158	400194
300054	400835
400227	400788
400084	300087
300153	400782
400412	400838
400015	400109
400228	401606
400787	401608
401976	300141
400984	401037
300071	300012
401000	300016
400109	401605
401216	300029
401993	300228
400051	401574
300101	400209
300049	300044
400633	401991
401976	400012
400226	401608
400966	400638
400179	400735
300039	400375
400636	401572
400445	300122
400179	401101
400511	300149
300079	400896
300150	401733
401863	400409
400618	300013
300044	401995
300012	300126
400701	300125
401574	400355
401564	401567
401693	400584
400793	400586
401574	400079
401690	401975
400264	400284
400595	400637
400194	401562
400838	400731
400969	300015
400130	400260
400870	400235
400258	300045
400243	400783
400472	401575
402110	400740
401700	401599
400015	300012
400573	400243
300088	400197
400349	300041
400009	400281
400223	400079
400329	300126
400459	300043
401596	400903
400779	400584
300057	401575
400622	400566
400643	400210
400033	401567
